이름,id,대분류,소분류,재료,건강정보,조회수,link
캠핑 비어치킨,1991911,48164,48202,"['닭', '바비큐럽', '캔맥주']",[],"307,110",/entry.nhn?docId=1991911&cid=48164&categoryId=48202
콘치즈,1988597,48164,48202,"['완두콩', '후춧가루', '옥수수', '당근', '내주는채소인당근을사용하여도', '설탕', '마요네즈', '슈레드피자치즈', '소금', '홍피망']","['항암', '고혈압']","896,565",/entry.nhn?docId=1988597&cid=48164&categoryId=48202
고추장삼겹살,1988185,48164,48202,"['고추장', '후춧가루', '양념', '사과즙', '설탕', '생강즙', '고춧가루', '맛술', '매실청', '참기름', '잣', '삼겹살', '마늘']","['항암', '고혈압', '관절염']","203,269",/entry.nhn?docId=1988185&cid=48164&categoryId=48202
웨지감자,1988218,48164,48202,"['타임', '없을경우올리브유로사용하여도', '버터', '후추', '로즈메리', '소금', '감자', '올리브유']",['고혈압'],"316,772",/entry.nhn?docId=1988218&cid=48164&categoryId=48202
닭갈비,1988130,48164,48202,"['당근', '설탕', '깻잎', '참기름', '간장', '물', '닭다리살', '대파', '쫄면', '양념', '고구마', '닭육수', '고춧가루', '청주', '떡볶이떡', '양배추', '닭뼈', '양파', '마늘', '식용유', '생강']","['항암', '고혈압', '관절염']","285,858",/entry.nhn?docId=1988130&cid=48164&categoryId=48202
슈바이네학센,1991502,48164,48202,"['양송이버섯', '물', '데리야키소스', '발사믹식초', '설탕', '맥주', '정향', '스테이크소스', '표고버섯', '소스', '월계수잎', '양파', '돼지뒷다리정강이살']","['항암', '고혈압']","117,921",/entry.nhn?docId=1991502&cid=48164&categoryId=48202
이면수구이,5668088,48164,48202,"['후춧가루', '이면수', '조청', '생강즙', '참기름', '다진마늘', '깨소금', '간장']",[],"29,444",/entry.nhn?docId=5668088&cid=48164&categoryId=48202
캠핑 꼬치구이,1991912,48164,48202,"['마늘', '식초', '파프리카', '피망', '소금', '돼지고기', '양파', '파']","['항암', '고혈압', '관절염']","246,400",/entry.nhn?docId=1991912&cid=48164&categoryId=48202
가브리살구이,1989474,48164,48202,"['양송이버섯', '볶은소금', '가브리살', '소금']",['고혈압'],"38,264",/entry.nhn?docId=1989474&cid=48164&categoryId=48202
김치찌개,5695867,48164,48202,"['배추김치', '돼지고기목살', '건다시마', '물', '대파', '큰네모썰기한무', '마늘즙', '생강즙', '큰네모썰기한양파', '표고버섯', '김치물', '청주', '쑥갓', '두부', '팽이버섯']","['항암', '고혈압', '관절염']","9,628",/entry.nhn?docId=5695867&cid=48164&categoryId=48202
차돌박이구이,1991943,48164,48202,"['참치액', '차돌박이', '고추장', '후춧가루', '레몬', '생강즙', '영양부추', '통깨', '식초', '올리고당', '소금', '참기름', '국간장', '간장', '고춧가루', '청주', '깨소금', '빨간파프리카']",['항암'],"64,705",/entry.nhn?docId=1991943&cid=48164&categoryId=48202
불고기,5682878,48164,48202,"['실파', '배즙', '후춧가루', '식용유', '양념장간장', '설탕', '표고버섯', '양념배', '참기름', '다진마늘', '양파', '다진파', '청주', '깨소금']","['항암', '고혈압']","13,023",/entry.nhn?docId=5682878&cid=48164&categoryId=48202
치즈버터전복구이,1990536,48164,48202,"['전복', '새우', '후춧가루', '당근', '버터', '치즈', '파프리카', '피망', '소금', '양파', '청주']","['항암', '고혈압', '관절염']","236,615",/entry.nhn?docId=1990536&cid=48164&categoryId=48202
떡갈비,5678218,48164,48202,"['밀가루', '부추', '잣가루', '찹쌀가루']",['항암'],"14,015",/entry.nhn?docId=5678218&cid=48164&categoryId=48202
통감자 치즈구이,1991475,48164,48202,"['베이컨', '버터', '파슬리가루', '소금', '슬라이스치즈', '감자', '샤워크림']",['고혈압'],"130,971",/entry.nhn?docId=1991475&cid=48164&categoryId=48202
연어감자오븐구이,1991057,48164,48202,"['연어', '후춧가루', '대파', '레몬', '버터', '마요네즈', '로즈메리', '홀그레인', '소금', '레몬즙', '양파', '감자']","['항암', '고혈압', '관절염']","31,364",/entry.nhn?docId=1991057&cid=48164&categoryId=48202
베이컨말이,1988154,48164,48202,"['머스터드', '베이컨', '깻잎', '파프리카', '토마토케첩', '팽이버섯']","['항암', '고혈압']","751,835",/entry.nhn?docId=1988154&cid=48164&categoryId=48202
닭다리 데리야키구이,1991244,48164,48202,"['청주', '조림장', '후춧가루', '닭다리', '대파', '식용유', '당근', '버터', '설탕', '생강즙', '감자', '소금', '닭다리양념', '맛술', '마늘', '간장']","['항암', '고혈압', '관절염']","39,719",/entry.nhn?docId=1991244&cid=48164&categoryId=48202
메로구이,1988579,48164,48202,"['양송이버섯', '물', '생선뼈', '메로', '대파', '레몬주스', '버터', '화이트와인', '샐러리', '밀가루', '후추', '정향', '소금', '월계수잎', '양파', '올리브유', '생크림']",['고혈압'],"132,287",/entry.nhn?docId=1988579&cid=48164&categoryId=48202
전복구이,5668074,48164,48202,"['전복', '후춧가루', '생강즙', '참기름', '다진마늘', '깨소금', '고춧가루', '다진파', '간장']",['고혈압'],"19,597",/entry.nhn?docId=5668074&cid=48164&categoryId=48202
캠핑 닭구이,1991913,48164,48202,"['닭', '후추', '소금', '양파', '감자']",['고혈압'],"97,080",/entry.nhn?docId=1991913&cid=48164&categoryId=48202
새송이버섯구이,955959,48164,48202,"['은행', '소금']",[],"76,626",/entry.nhn?docId=955959&cid=48164&categoryId=48202
