id,keyword,paragraph
1,애플망고,"외국어 : Apple Mango (영어), 어원(Irwon). 분류 : 과일. 원산지 : 동남아. 주요 생산지 : 대한민국 (제주도) 일본, 대만, 호주, 미국. 유사재료 : 망고. 음식궁합 : 망고와 우유를 함께 섭취하면 망고의 베타카로틴과 우유의 단백질, 지방을 동시에 섭취하게 되어 궁합이 맞다.. 효능 및 영양성분 : -비타민A, C가 풍부하다.-베타카로틴을 함유하여 피부미용과 눈 건강에 도움이 된다.-Mangiferin성분은 비만의 위험, 콜레스테롤 수치를 낮추고 뇌의 신경세포를 보호한다.-비타민A를 함유해서 피부와 머리카락의 건강을 돕는다.. 열량 : 100g당 64 kcal (생것). 활용 : 과육으로 먹거나 갈아서 주스 또는 샐러드로 먹기도 한다.. 고르는 법 : 검은 반점이 없고 표면이 매끈하며 깨끗한 것으로 가로 7cm 세로 12cm 정도의 것이 좋다. 손질법 : 씨를 피해(과육의 중간에 큰 씨가 있다) 3등분으로 자른 후 과육을 등분한 후 껍질을 분리한다.. 보관법 : 숙성된 것은 냉장고에 보관하며 5일 이내에 먹는 것이 좋다. 만약 썰어 보관하는 경우 밀폐 용기에 담아 냉장고에 보관한다. 딱딱하게 덜 익은 것을 구입했을 경우 공기가 잘 통하는 실온에 두고 부드러워지면 먹는다.. 먹는 법 : 과육 자체로 먹거나 갈아서 주스로 먹는다.샐러드에도 이용한다.. "
2,쌀,"학명 : O. sativa L.. 영명 : Rice. 원산지 : 인도의 아삼 지방과 중국의 운남성 부근. 정의 : 벼의 왕겨와 겨층을 벗겨내어 먹을 수 있게 가공한 것을 말함. 기원 및 분포 : - 기원에 관한 주장 중 인도의 아삼 지방과 중국의 운남성 부근을 아시아 재배 벼의 기원지로 보는 설이 가장 유력함- 인도, 미얀마, 태국, 베트남 및 중국에 걸쳐 큰 강들이 아삼과 운남성 부근 고원지대로부터 발원되어,물줄기를 따라 각 지역으로 전파된 것으로 보고 있음. 국내 전파 : - 경기도 여주에서 발굴된 탄화미(炭化米)는 청동기시대에 쌀을 생산하였다는 증거가 됨- 통일신라 때 주식의 기반을 굳힌 쌀을 고려 시대 들어오면서 더욱 일반화됨- 조선 시대에는 모내기법의 전국화, 함경도 변경지대의 개답(開畓)시도 등 여러 가지 정부노력이 있었음. 분류 : -논벼(水稻): 우리나라에서 재배되는 대부분의 벼를 말하며 50cm 이하의 물깊이에서 재배됨-밭벼(陸稻): 산간 고원지 밭 상태에서 재배될 수 있도록 발달한 벼-심수도(深水稻): 0.5~1m의 물 깊이에서 자라는데 열대지역 저습 지대에 적응함-부도(浮稻): 물의 깊이가 1~6m 되는 동남아시아 및 서부 아프리카 하류 지역에서 우기에 물이깊어짐에 따라 줄기 신장 촉진이 잘되는 특성을 보인 벼-메벼: 배유가 반투명하고 녹말이 약 15~35% 아밀로오스와 나머지 아밀로펙틴으로 구성되어 있으며,주로 밥쌀용이나 가공용으로 사용됨-찰벼: 배유가 불투명하고 녹말이 아밀로펙틴으로만 구성되어 있으며, 주로 떡쌀용으로 사용됨. "
3,생강,"외국어 표기 : Ginger(영어). 학명 : Zingiber officinale Roscoe. 영명 : Common Ginger. 원산지 : 인도, 말레이시아 등지. 정의 : 생강과에 속하는 다년생 초본식물. 분류 : 채소 > 근채류. 주요 생산지 : - 충남 서산, 태안, 당진, 서천, 예산- 경북 김천, 영주, 예천, 구미, 안동- 전북 완주, 김제, 임실, 남원. 제철 : 8월~11월. 특징 : 특유의 알싸한 매운맛과 강렬한 향을 가지고 있다.. 효능 : 생강의 진저롤과 쇼가올은 혈액순환을 활성화하고 혈압과 체온을 정상화해 수족냉증을 개선하고, 혈관 내 콜레스테롤을 배출하는 등 동맥경화나 고혈압 같은 성인병을 예방하는 데 효과적이다.. 열량 : 100g당 59kcal. 음식궁합 : 대추와 함께 섭취하면 위를 보호해주고 소화를 도와준다. 김치에 넣어주면 살균작용과 맛을 상승 시키는 효과가 있다. 활용 : 김치 등 각종 양념류의 부재료, 고기와 생선의 비린내를 제거하는 향미 채소로 활용될 뿐 아니라 디저트와 차, 술로 활용된다.. 고르는 법 : 조직이 단단하고 껍질은 얇으면서 황토색을 띠는 것이 좋다. 한 덩어리에 여러 조각이 붙어 있는 것, 고유의 매운맛과 향기가 강한 것이 좋은 생강이다.. 손질법 : 물에 씻어 겉에 묻은 흙과 이물질을 제거하고 수저나 칼을 이용해 껍질을 벗긴다. 물에 15~20분간 불린 뒤 껍질을 제거하면 쉽게 껍질을 벗길 수 있다.. 보관법 : 장기간 보관하려면 흙이 묻어 있는 상태로 봉투에 담아 통풍이 잘되고, 어둡고 서늘한 곳에 보관하는 것이 좋다. 단기간 내 사용할 생강은 다듬은 후 비닐이나 젖은 키친타월에 싸서 냉장 보관한다.. 먹는 법 : 편이나 채를 썰어서 사용하며, 요즘은 약용이나 카레가루에 사용된다. 고기를 재우거나 양념으로 쓸 때는 즙을 내거나 생강가루를 내어 사용한다. 분말로 가공되어 제과, 제빵 재료나 음료수 재료에 이용되기도 한다.. 유사재료 : 마늘에는 알리신이 들어 있으며, 생강에는 진저롤이 들어 있어 병원균에 대한 살균력이 강하게 작용한다.. "
4,울외,"외국어표시 : 나라즈케(일본어). 분류 : 채소류 > 과채류. 원산지 : -. 주요 생산지 : 수입 : 일본국내 : 전북 군산, 정읍. 유사재료 : 박, 노각. 어원/유래 : 울외라는 이름은 최근에 지어진 것이다. 일본에서는 백과(白瓜)라고 쓰고 시로-우리(しろ-うり)라 읽는데, 일제 시대에 '우리'瓜를 '울'로 따오고 여기에 참외의 '-외'를 붙여 이런 이름을 만들었던 것으로 보인다.. 특징 : 과육이 두껍고 연하기 때문에 저장성이 떨어져, 바로 장아찌로 담가서 주로 먹었다.. 종류(구분,품종) : -. 음식궁합 : 모든 음식과 궁합이 좋다. 섬유질, 미네랄, 비타민이 많다. 술지게미로 숙성시켜 장아찌로 이용한다. 장아찌를 양념류로 버무려 반찬으로 이용한다.. 효능 및 영양성분 : 찌그러진 달걀 모양의 기다란 열매에는 무기질, 섬유소, 비타민 B, 비타민 C 등 영양소가 풍부해 여름철 땀을 많이 흘리는 사람에게 좋다.. 열량 : 100g당 36kcal. 궁합 : 일본에서 장어랑 같이 먹으면 뒷맛을 깔끔하게 해 준다고 한다.. 활용 : 장아찌로 담가 먹는다.. 고르는법 : 울외장아찌의 경우, 숙성기간이 길수록 색이 짙어진다.. 손질법 : 과육이 두껍지만 연하기 때문에 저장성이 떨어지고, 생것으로 2~3일간 상온에 방치하면 상품성이 떨어지므로 주로 장아찌를 담아 상품화하는 편이다. 울외 장아찌를 먹어봐 짜면, 물에 1시간 이상 식초를 몇 방울 넣어 담가두었다가 짠 기를 뺀 후 사용한다.. 보관법 : 울외 장아찌는 냉장보관하면 장기간(1~2년) 보관하고 먹을 수도 있다.. 먹는법 : 길이대로 반을 갈라 씨를 긁어낸 후 소금물에 하루 정도 절였다가 물기를 뺀다. 술지게미, 설탕, 청주로 채운 다음 항아리에 담아 2~3개월 발효시킨다. 새콤달콤 아삭아삭한 맛을 내며 먹고 난 뒷맛이 깔끔해 어떤 음식과도 잘 어울린다.. "
5,초석잠,"외국어 : stachys sieboldii. 분류 : 채소류 > 근채류. 원산지 : 중국. 주요생산지 : 경남 함양/산청, 경북 봉화, 강원 강릉, 전남 순천. 유사재료 : -. 음식궁합 : 초석잠의 콜린 성분은 장활동을 활발히 돕기 때문에 우유, 요구르트와 어울린다. 과다 섭취는 설사를 유발한다. 올리고당 성분이 충분하기 때문에 설탕이나 감미료를 많이 쓰는 음식과는 어울리지 않는다.. 효능 및 영양성분 : 뇌기능을 활성화하는 페닐에타노이드 성분, 치매를 예방하는 콜린 성분이 풍부하며 부종이나 뇌졸중, 혈액순환을 원활히 도움을 준다.. 열량 : 100g당 480~600kcal. 활용 : 초석잠수, 장아찌, 국수, 빵, 떡, 미숫가루 등. 고르는 법 : 택란과 혼동이 되지 않도록 한다. 골뱅이 모양이 잘 형성되었는지 살핀다.. 손질법 : 초석잠에 묻어 있는 흙과 먼지를 흐르는 물에 씻고, 건조 시에는 햇빛에 잘 말린다.. 보관법 : 생초석잠은 세척하지 않고 밀봉하여 냉장보관한다.. 먹는 법 : 초석잠수는 간편하게 물 대신 마시기 좋으며, 여름에는 차게 겨울에는 따뜻하게 차로 마시면 좋다.. "
6,함초(퉁퉁마디),"외국어표시 : Slander Glasswort. 분류 : 해조류. 원산지 : -. 주요생산지 : 일본·중국·인도·북아메리카전남 신안. 유사재료 : 세발나물. 어원/유래 : 마디가 원기둥같이 퉁퉁하다고 해서 퉁퉁마디라고 하며, 짠맛이 나는 나물이라고 해서 함초라고 한다.. 특징 : 짠맛이 나는 내염성 식물. 종류(구분, 품종) : -. 음식궁합 : 다시마, 멸치와 함께 사용하면 맛의 상승효과를 얻을 수 있다. 우엉, 당근, 감자를 함께 섞어 튀김으로 섭취하면 좋다. 스테이크에 가루를 이용해도 좋다.. 효능 및 영양성분 : 숙변제거로 변비 치료 및 피부미용에 효과가 있으면, 혈액 속의 콜레스테롤과 중성지방질을 제거하여 혈액순환을 좋게 하고 혈관을 깨끗하게 하여 고혈압, 저혈압 치료에 효과가 있으며 소화기관 및 당뇨에도 효과가 있다.. 열량 : 100g당 94kcal. 궁합 : -. 활용 : 분말, 환 외에 함초소금, 함초피클, 발효액, 함초간장, 함초한과등 다양한 제품으로 개발되고 있다.. 고르는 법 : 가지가 통통하고 진녹색인 것이 좋다.. 손질법 : 뿌리는 잘라내고 흐르는 물에 여러 번 씻는다.. 보관법 : 깨끗이 씻어 끓는 물에 살짝 데친 후 찬물에 헹군다. 먹을 만큼 비닐팩에 담아 냉동 보관한다.. 먹는 법 : 살짝 데쳐서 나물로 무쳐 먹거나 차로 달여 마신다. 8~9월에 채취하여 날 것을 생즙으로 먹는 것이 가장 좋고. 편의상 완전히 말려서 가루로 만들어 환으로 만들어 복용하거나 분말로 복용 시엔 처음에는 4~5g에서 시작하여 차츰 양을 늘려 10~15g을 하루에 두세 번 빈속에 먹는 것이 좋지만 너무 짜므로 물에 타서 먹는 게 좋다.. "
7,모링가,"외국어표시 : Moringa(영어). 분류 : 특용작물류 > 기타. 원산지 : 아프리카, 인도. 음식궁합 : 찬성분이므로 따뜻한 성분의 대추와 잘 맞는다. 대추, 우유를 함께 갈아 섭취하면 좋다. 씨앗은 셀레늄, 프로보노이드, 폴리페놀 등이 있어 혈관청소에 도움이 된다.. 효능 및 영양성분 : 우리 몸에 필요한 다양한 영양 성분을 고함량으로 지녀 ‘기적의 나무’라 불린다.. 열량 : 100g당 92kcal(생잎), 329kcal(건조잎). "
8,섬초,"외국어표시 : spinach. 분류 : 채소류 > 엽채류. 원산지 : 아시아 서남부 , 아프가니스탄 주변의 중앙아시아. 주요 생산지 : 경북 포항 , 남해 , 전남 신안 비금도. 유사재료 : 근대 ( 근대는 비타민 A, Ca, Fe 이 풍부하며 시금치와 동일한 방법으로 요리를 하며 줄기가 다소 억세므로 벗겨내고 요리하면 좋다 ). 특징 : 시금치는 아시아 서남부 원산의 한 두해살이 채소로 뿌리는 육질이며 굵고 길다 . 원줄기는 속이 비어 있고 높이 50cm 정도 자란다 . 잎은 어긋나고 잎자루가 있으며 밑부분이 깊게 갈라지고 윗부분은 밋밋하다 . 뿌리 잎과 어린 부분을 나물로 무쳐 먹거나 국을 끓여 먹기도 한다.. 음식궁합 : 시금치의 수산 성분이 결석을 잘 만드는데, 참깨가 이것을 막아주며, 참깨의 필수아미노산과 비타민E 등 영양 보완이 된다.. 효능 및 영양성분 : 시금치는 비타민A   B   C를 고루 함유하고 있는 채소로 비타민의 보고라 불린다 . 특히 녹황색 채소에서 발견되는 비타민 A 인 베타카로틴의 함량이 다른 채소류에 비해 월등히 높다 . 베타카로틴은 암세포가 생성되거나 번식하려는 것을 막는 효과가 있어 암 발병 억제에 도움을 준다.. 열량 : 100g 당 30kcal. 활용 : 보통 무침에 많이 사용하지만 때에 따라 국에 넣어 먹기도 하고 생으로 섭취하기도 한다 . 서양에서는 프리타타라고 하는 음식에 많이 이용한다.. 고르는 법 : 좋은 시금치는 잎이 두껍고 풍성하며 표면에 윤기가 도는 것이다. 잎이 너무 넓거나 길게 자라있는 것, 꽃대가 올라온 것은 피하는 것이 좋다. 줄기에 물기가 많고 만졌을 때 단단한 느낌이 나는 것이 싱싱한 시금치다. 뿌리를 봤을 때 붉은색이 선명하고 줄기 아랫부분까지 고루 잘 퍼져 있는 것이 상품이다.. 손질법 : 시든 잎과 뿌리를 다듬은 후에 끓는 물에 소금을 조금 넣고 데쳐서 사용한다.. 보관법 : 구입한 시금치는 되도록 빨리 먹는 것이 좋고, 흙, 먼지 등을 제고한 후 신문지나 키친타월에 싸서 냉장보관하면 좋다. 냉동 보관 시 시금치를 끓는 물에 소금을 넣고 30 초가량 데친 뒤 한 번씩 사용할 분량으로 나눠 비닐에 담아 보관한다.. 먹는 법 : 살짝 데쳐서 무쳐먹거나 하는데 흔히 먹는 방법으로 김밥에 넣어 먹는 방법이 있다.. "
9,삼채,"외국어 : Hooker chives ( 영어 ). 분류 : 채소류 > 엽경채류. 원산지 : 미얀마 , 부탄, 스리랑카 , 인도 , 중국 시난 , 티베트지역. 주요생산지 : 외국 : 히말라야 1400m-4200m 초고랭지국내 : 경남 하동 / 함양 / 거창 , 전북 고창. 유사재료 : 부추. 어원 / 유래 : 3 가지 맛 ( 매운맛 , 단맛 , 쓴맛 ) 이 난다고 해서 삼채 ( 三菜 ) 라고 하기도 하고 인삼의 어린 뿌리 같다고 해서 삼채 ( 蔘菜 ) 라고도 불린다.. 특징 : 삼채의 잎은 부추와 생김새가 비슷하고 뿌리는 인삼을 연상시킨다.. 종류 ( 구분, 품종 ) : 채소. 음식궁합 : 육류와 먹으면 삼채가 육류 속 콜레스테롤을 분해하고 생선과 먹으면 비린 맛을 잡아준다. 대부분의 음식과 궁합이 맞는다.. 효능 및 영양성분 : 인체에 꼭 필요한 식이유황성분이 양파의 2 배 , 마늘의 6 배 , 인삼의 60 배가 들어있어 당뇨 , 혈압에 도움이 되며 피부 개선과 뼈를 튼튼하게 하는데 탁월한 효과가 있다.. 열량 : -. 궁합 : 육류 ,( 삼채가 육류 속의 콜레스테롤을 분해 효과 ), 생선(비린 맛 잡아줌 )모든 음식에 대부분 궁합이 맞음.. 활용 : 잎 , 꽃 , 줄기 , 뿌리까지 모두 활용 가능하며 청을 담가먹기도 하지만 각종 무침이나 볶음 등 요리에 사용한다 . 또 뿌리는 윗부분을 잘라낸 다음 과일과 섞어 주스로 만들어 먹을 수 있다.. 고르는 법 : 줄기가 억세지 않으며 뿌리와 잎이 싱싱한 것을 고른다.. 손질법 : 뿌리 부분의 흙을 깨끗이 털어내고 흐르는 물에 여러 번 깨끗이 흔들어 씻는다.. 보관법 : 뿌리를 자르지 않고 신문에 싸서 물기를 적셔주고 비닐봉지에 넣어 보관을 한다. 밀봉하여 보관하면 3-4 일 정도 사용할 수 있다.. 먹는 법 : 삼채는 한국인이 즐겨먹는 무침 , 볶음 등 어느 요리에도 사용 가능하다.. "
10,단호박,"분류 : 채소 > 과채류. 주요 생산지 : 제주도 ,전남 함평 ,강원 홍천. 제철 : 가을. 유사재료 : 미니 단호박. 특징 : 단단한 껍질 속에 노란빛의 달콤한 과육을 가지고 있다. 갓 수확했을 때보다 약 2주가량의 후숙 기간을 거치면 당도가 올라간다.. 효능 : 풍부하게 함유된 비타민 A와 베타카로틴이 노화를 억제하고 성인병을 예방해준다.. 열량 : 100g당 70kcal. 음식궁합 : -. 활용 : 죽, 수프, 샐러드, 찜 등의 요리에 다양하게 쓰이며 디저트로도 많이 활용된다.. 고르는 법 : 표면에 상처가 없이 깨끗하며, 들었을 때 묵직한 느낌이 드는 것이 좋다. 꼭지가 잘 마른 것이 당도가 높은 단호박이다.. 손질법 : 꼭지를 제거하고 반으로 잘라 씨를 빼내고 용도에 맞게 손질하여 사용한다.. 보관법 : 통풍이 잘 되는 그늘진 곳에서 10~15℃ 정도의 온도를 유지하면 약 15일 정도 보관이 가능하다.. "
